"Pos","PIC","No.","Name","Class","Best Tm","Laps","Diff","Gap","Points","Make","Model","Color","Year","City","State","Sponsor"
"1","1","33","Scott Mohr","Super Unlimited","1:24.324","10","","","100","Chevrolet","Corvette","Green","2003","","",""
"2","2","71G","Stephen Tullman","Super Unlimited","1:24.733","10","3.183","3.183","90","Porsche","GT3 Cup","White","2012","","",""
"3","1","31","Dan Carlson","American Iron","1:30.701","10","18.337","15.154","100","Ford","Mustang","Black","1995","New York","NY","Realspeed"
"4","3","66","Lawrence Lepurage","Super Unlimited","1:26.259","10","26.981","8.644","85","Chevrolet","Corvette","Yellow","","","",""
"5","1","619","Adrian Wlostowski","Super Touring 2","1:28.635","10","30.432","3.451","100","Chevrolet","Corvette","Black","2010","Maspeth","NY","F.A.S.T. Auto"
"6","2","761","Chris Durbin","Super Touring 2","1:27.461","10","35.946","5.514","90","Ford","Mustang","Black","2003","South Park","PA","Hawk, Rockland Gear"
"7","3","481","John George","Super Touring 2","1:30.774","10","39.927","3.981","85","Factory Five","Challenge","Blue","2005","","",""
"8","1","267","Andrew Caddell","GTS4","1:27.950","10","43.229","3.302","100","BMW","","Black","","","","VAC Motorsports"
"9","2","302","Eric Fuehrer","American Iron","1:30.084","10","45.308","2.079","90","Ford","Mustang","White","2014","nescopeck","PA",""
"10","3","93","Todd Honczarenko","American Iron","1:29.346","10","46.852","1.544","85","Ford","Mustang","Black","1989","","",""
"11","1","22","Hugh Stewart","GTS3","1:27.502","10","52.087","5.235","100","BMW","328","White/Red","1992","","",""
"12","1","951","John Khoury","Super Touring 1","1:31.462","10","53.723","1.636","100","BMW","318is","White","1993","","",""
"13","2","8","Frank Ferrara","GTS3","1:29.414","10","56.264","2.541","90","BMW","M3","Blue","2001","Oreland","PA",""
"14","2","914","Jack Haberman","GTS4","1:29.505","10","58.860","2.596","90","BMW","M3","D.Gray","2003","Chatham","NJ",""
"15","3","301","Mark Gaynor","GTS4","1:30.027","10","1:06.517","7.657","85","Porsche","Cayman","Black","2006","Martinsville","NJ",""
"16","3","85","John DeFelice","GTS3","1:29.302","10","1:09.878","3.361","85","BMW","M3","Silver","2005","Oceanside","NY","SOH"
"17","4","24","AJ Hartman","American Iron","1:32.095","10","1:12.834","2.956","80","Ford","Mustang GT","Blue","1999","Clementon","NJ",""
"18","4","72","Matthew Gaetano","GTS4","1:30.971","10","1:16.043","3.209","80","BMW","M3","Yellow/Black","2003","White Plains","NY",""
"19","4","92","John Gatzemeyer","Super Touring 2","1:30.051","10","1:20.194","4.151","80","Chevrolet","Corvette","Red","2001","Hillsborough","NJ","Elusive Racing "
"20","4","123","Eyal Adler","GTS3","1:32.578","10","1:27.715","7.521","80","BMW","135i","Gray/Orange","2008","","",""
"21","4","170","Daniel Raver","Super Unlimited","1:25.246","10","6:08.575","4:40.860","80","Superlite Coupe","GT3","Green","2015","Reisterstown","MD","Agile Automotive Performance - Superlite Cars"
"22","5","82","John Pattman","American Iron","1:37.358","9","1 Lap","1 Lap","75","Ford","Mustang","Blue","2008","Midland Park","NJ",""
"23","5","712","Chris Petersen","GTS3","1:29.999","8","2 Laps","1 Lap","75","BMW","M3","Black","2004","Wayne","NJ",""
"24","5","331","Michael Gershanok","GTS4","1:38.154","8","2 Laps","5:13.064","75","BMW","M3","L.Blue","","","",""
"25","5","38","Doug Winston","Super Touring 2","1:33.063","6","4 Laps","2 Laps","75","Chevrolet","Corvette","Yellow","","","",""
"DQ","DQ","28","Shaun Ashley","GTS4","1:26.813","10","DQ","","0","BMW","325","White/Black","1992","","",""
"DQ","DQ","11","Patrick McMahon","Super Touring 2","1:28.133","10","DQ","","0","Factory Five","Spec Cobra","Gray/Black","","Danville","NH",""
"DQ","DQ","187","Edgar Cabrera","GTS4","1:26.209","10","DQ","","0","BMW","M3","Gray","2004","Santo Domingo","DR","IMC"
"DQ","DQ","909","Foad Razavi","GTS3","1:33.237","10","DQ","","0","BMW","M3","Silver","2003","","",""
"DQ","DQ","70","Albert Watson","American Iron","1:30.287","9","DQ","","0","Ford","Mustang","White","1989","Cranford","NJ",""
